股票代码-0,股票名称-1,限价单最大下单量-16,限价单最小下单量-17,最小变动价位-18,创建日-19,昨日收盘价-2,上市日-20,到期日-21,昨日结算-3,合约在RZRK的代码-32,合约在交易所的代码-33,利息额-35,除权除息-36,停牌-37,昨日持仓-4,涨停价-5,投资者适当性管理分类-50,最小回购天数-52,跌停价-6,总股本-7,流通盘-8,合约数量乘数-9,股票-S
422, *ST\5b9c\5316, 0L, 0L,0.01, ,2.49,19960815, ,0,422,422,0, N,0,0,2.61,0,0,2.37, 897866712L, 897812984L,1,422,
423, \4e1c\963f\963f\80f6, 0L, 0L,0.01, ,53.36,19960729, ,0,423,423,0, N,0,0,58.7,0,0,48.02, 654021537L, 653867313L,1,423,
425, \5f90\5de5\673a\68b0, 0L, 0L,0.01, ,3.96,19960828, ,0,425,425,0, N,0,0,4.36,0,0,3.56, 7007727655L, 6993565672L,1,425,
426, \5174\4e1a\77ff\4e1a, 0L, 0L,0.01, ,7.21,19960828, ,0,426,426,0, N,24,0,7.93,0,0,6.49, 1877699557L, 1330261893L,1,426,
428, \534e\5929\9152\5e97, 0L, 0L,0.01, ,2.81,19960808, ,0,428,428,0, N,0,0,3.09,0,0,2.53, 1018926000L, 718884450L,1,428,
429, \7ca4\9ad8\901f\ff21, 0L, 0L,0.01, ,7.33,19980220, ,0,429,429,0, N,0,0,8.06,0,0,6.6, 2090806126L, 817635824L,1,429,
430, \5f20\5bb6\754c, 0L, 0L,0.01, ,6.75,19960829, ,0,430,430,0, N,0,0,7.43,0,0,6.08, 404817686L, 331738800L,1,430,
488, \6668\9e23\7eb8\4e1a, 0L, 0L,0.01, ,11.83,20001120, ,0,488,488,0, N,0,0,13.01,0,0,10.65, 1936405467L, 1928470366L,1,488,
498, \5c71\4e1c\8def\6865, 0L, 0L,0.01, ,3.81,19970609, ,0,498,498,0, N,0,0,4.19,0,0,3.43, 1120139063L, 440700000L,1,498,
501, \9102\6b66\5546\ff21, 0L, 0L,0.01, ,11.48,19921119, ,0,501,501,0, N,0,0,12.63,0,0,10.33, 768992731L, 677652825L,1,501,
502, \7eff\666f\63a7\80a1, 0L, 0L,0.01, ,6.68,19921122, ,0,502,502,0, N,0,0,7.35,0,0,6.01, 184819607L, 183348857L,1,502,
503, \56fd\65b0\5065\5eb7, 0L, 0L,0.01, ,30.23,19921129, ,0,503,503,0, N,0,0,33.25,0,0,27.21, 898822204L, 898822204L,1,503,
504, \5357\534e\751f\7269, 0L, 0L,0.01, ,20.58,19921207, ,0,504,504,0, N,0,0,22.64,0,0,18.52, 311573901L, 310673201L,1,504,
505, \4eac\7cae\63a7\80a1, 0L, 0L,0.01, ,6.18,19921220, ,0,505,505,0, N,0,0,6.8,0,0,5.56, 685790364L, 425445904L,1,505,
506, \4e2d\6da6\8d44\6e90, 0L, 0L,0.01, ,2.88,19930311, ,0,506,506,0, N,0,0,3.17,0,0,2.59, 929017761L, 928670961L,1,506,
507, \73e0\6d77\6e2f, 0L, 0L,0.01, ,8.22,19930325, ,0,507,507,0, N,0,0,9.04,0,0,7.4, 789540919L, 772143777L,1,507,
509, \534e\5851\63a7\80a1, 0L, 0L,0.01, ,2.42,19930506, ,0,509,509,0, N,0,0,2.66,0,0,2.18, 825483117L, 825015098L,1,509,
510, \91d1\8def\96c6\56e2, 0L, 0L,0.01, ,5.16,19930506, ,0,510,510,0, N,0,0,5.68,0,0,4.64, 609182254L, 549479157L,1,510,
513, \4e3d\73e0\96c6\56e2, 0L, 0L,0.01, ,48.48,19931028, ,0,513,513,0, N,0,0,53.33,0,0,43.63, 719050240L, 705164739L,1,513,
514, \6e1d \5f00 \53d1, 0L, 0L,0.01, ,4.24,19930710, ,0,514,514,0, N,0,0,4.66,0,0,3.82, 843770965L, 843770965L,1,514,
516, \56fd\9645\533b\5b66, 0L, 0L,0.01, ,5.12,19930807, ,0,516,516,0, N,0,0,5.63,0,0,4.61, 1971049302L, 1932619615L,1,516,
517, \8363\5b89\5730\4ea7, 0L, 0L,0.01, ,2.93,19930804, ,0,517,517,0, N,0,0,3.22,0,0,2.64, 3183922485L, 3035616496L,1,517,
518, \56db\73af\751f\7269, 0L, 0L,0.01, ,4.09,19920624, ,0,518,518,0, N,0,0,4.5,0,0,3.68, 1029556222L, 1029535693L,1,518,
519, \4e2d\5175\7ea2\7bad, 0L, 0L,0.01, ,8.82,19931007, ,0,519,519,0, N,0,0,9.7,0,0,7.94, 1403461644L, 735183076L,1,519,
520, \957f\822a\51e4\51f0, 0L, 0L,0.01, ,3.01,19931025, ,0,520,520,0, N,0,0,3.31,0,0,2.71, 1012083455L, 1012083455L,1,520,
521, \957f\8679\7f8e\83f1, 0L, 0L,0.01, ,3.67,19931018, ,0,521,521,0, N,0,0,4.04,0,0,3.3, 1044597881L, 963739293L,1,521,
523, \5e7f\5dde\6d6a\5947, 0L, 0L,0.01, ,5.82,19931108, ,0,523,523,0, N,0,0,6.4,0,0,5.24, 522944271L, 445738057L,1,523,
524, \5cad\5357\63a7\80a1, 0L, 0L,0.01, ,8.24,19931118, ,0,524,524,0, N,0,0,9.06,0,0,7.42, 670208597L, 272369918L,1,524,
525, \7ea2 \592a \9633, 0L, 0L,0.01, ,16.74,19931028, ,0,525,525,0, N,0,0,18.41,0,0,15.07, 580772873L, 506983093L,1,525,
526, \7d2b\5149\5b66\5927, 0L, 0L,0.01, ,28.18,19931101, ,0,526,526,0, N,83,0,31,0,0,25.36, 96195107L, 96195107L,1,526,
528, \67f3 \5de5, 0L, 0L,0.01, ,10.3,19931118, ,0,528,528,0, N,0,0,11.33,0,0,9.27, 1125242136L, 1125102561L,1,528,
529, \5e7f\5f18\63a7\80a1, 0L, 0L,0.01, ,5.43,19931118, ,0,529,529,0, N,0,0,5.97,0,0,4.89, 583790330L, 569884377L,1,529,
530, \5927\51b7\80a1\4efd, 0L, 0L,0.01, ,3.74,19931208, ,0,530,530,0, N,0,0,4.11,0,0,3.37, 855434087L, 840815042L,1,530,
531, \7a57\6052\8fd0\ff21, 0L, 0L,0.01, ,4.99,19940106, ,0,531,531,0, N,0,0,5.49,0,0,4.49, 685082820L, 685081244L,1,531,
532, \534e\91d1\8d44\672c, 0L, 0L,0.01, ,10.09,19940103, ,0,532,532,0, N,0,0,11.1,0,0,9.08, 344708340L, 343483446L,1,532,
533, \4e07 \5bb6 \4e50, 0L, 0L,0.01, ,3.53,19940103, ,0,533,533,0, N,0,0,3.88,0,0,3.18, 690816000L, 684902400L,1,533,
534, \4e07\6cfd\80a1\4efd, 0L, 0L,0.01, ,11.63,19940110, ,0,534,534,0, N,0,0,12.79,0,0,10.47, 491785096L, 491390107L,1,534,
536, \534e\6620\79d1\6280, 0L, 0L,0.01, ,2.65,20020628, ,0,536,536,0, N,0,0,2.92,0,0,2.39, 2766032803L, 2003053914L,1,536,
537, \5e7f\5b87\53d1\5c55, 0L, 0L,0.01, ,9.6,19931210, ,0,537,537,0, N,0,0,10.56,0,0,8.64, 1862520720L, 405945814L,1,537,
